prompt_id,timestamp,prompt_length,response_length,latency_seconds,tokens_per_second,cpu_percent,ram_percent,ram_used_gb,partition_strategy
1,2026-09-15 20:27:48,36,358,36.746,1.63,62.4,97.4,15.27,static
2,2026-09-15 20:28:12,34,326,24.412,2.42,77.0,95.7,15.0,static
3,2026-09-15 20:28:37,34,483,24.734,3.27,94.6,97.8,15.33,static
4,2026-09-15 20:29:02,32,424,24.767,2.71,93.1,98.0,15.36,static
5,2026-09-15 20:29:28,58,434,26.18,2.9,86.0,98.0,15.37,static
6,2026-09-15 20:29:45,57,300,16.516,3.21,93.2,97.9,15.34,static
7,2026-09-15 20:30:05,63,173,19.97,1.65,84.6,97.5,15.28,static
8,2026-09-15 20:30:33,111,397,27.638,2.75,74.1,97.1,15.23,static
9,2026-09-15 20:30:57,28,294,24.422,2.21,79.5,97.1,15.21,static
10,2026-09-15 20:31:15,104,229,18.177,2.09,90.8,97.2,15.23,static
11,2026-09-15 20:31:36,26,279,20.461,2.49,80.3,97.5,15.29,static
12,2026-09-15 20:31:39,30,31,2.667,2.25,82.8,97.1,15.22,static
13,2026-09-15 20:32:05,67,297,26.547,1.85,82.2,97.5,15.29,static
14,2026-09-15 20:32:31,42,396,25.488,2.51,73.7,96.7,15.16,static
15,2026-09-15 20:32:57,91,234,26.404,1.93,79.1,96.6,15.14,static
16,2026-09-15 20:33:23,65,496,25.419,3.07,69.0,94.3,14.79,static
17,2026-09-15 20:33:47,47,492,23.633,3.26,62.2,94.4,14.8,static
18,2026-09-15 20:34:12,164,383,25.231,2.62,68.5,95.5,14.98,static
19,2026-09-15 20:34:37,58,513,25.082,3.07,63.4,94.1,14.75,static
20,2026-09-15 20:34:42,57,43,4.442,1.8,73.0,94.5,14.81,static
